cellid	snp.file	Gender	fileid	logr	baf	study	penalty
8-MG-BA	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396.CEL	F	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396_tumour_BAF.txt	CCLE	70
A101D	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698.CEL	M	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698_tumour_BAF.txt	CCLE	70
A172	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348_tumour_BAF.txt	CCLE	70
A204	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284.CEL	F	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284_tumour_BAF.txt	CCLE	70
A2058	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800_tumour_BAF.txt	CCLE	70
A253	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754_tumour_BAF.txt	CCLE	70
A2780	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002.CEL	F	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002_tumour_BAF.txt	CCLE	70
A375	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438.CEL	F	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438_tumour_BAF.txt	CCLE	70
A3-KAW	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936.CEL	F	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936_tumour_LogR.txt	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936_tumour_BAF.txt	CCLE	70
A498	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284.CEL	F	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284_tumour_BAF.txt	CCLE	70
A4-Fuk	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926.CEL	F	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926_tumour_LogR.txt	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926_tumour_BAF.txt	CCLE	70
A549	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036_tumour_BAF.txt	CCLE	70
A673	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282.CEL	F	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282_tumour_BAF.txt	CCLE	70
A704	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962.CEL	M	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962_tumour_LogR.txt	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962_tumour_BAF.txt	CCLE	70
ABC-1	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226_tumour_BAF.txt	CCLE	70
ACHN	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310.CEL	M	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310_tumour_BAF.txt	CCLE	70
AGS	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380.CEL	F	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380_tumour_BAF.txt	CCLE	70
AM-38	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504_tumour_BAF.txt	CCLE	70
AML-193	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562.CEL	F	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562_tumour_BAF.txt	CCLE	70
AN3-CA	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294.CEL	F	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294_tumour_BAF.txt	CCLE	70
AsPC-1	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766.CEL	F	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766_tumour_BAF.txt	CCLE	70
AU565	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244.CEL	F	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244_tumour_BAF.txt	CCLE	70
BCPAP	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434.CEL	F	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434_tumour_BAF.txt	CCLE	70
Becker	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524_tumour_BAF.txt	CCLE	70
BEN	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352.CEL	M	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352_tumour_BAF.txt	CCLE	70
BFTC-905	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490.CEL	F	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490_tumour_BAF.txt	CCLE	70
BFTC-909	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476.CEL	M	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476_tumour_BAF.txt	CCLE	70
BHT-101	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332.CEL	F	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332_tumour_BAF.txt	CCLE	70
BHY	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356.CEL	M	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356_tumour_BAF.txt	CCLE	70
BL-41	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688.CEL	M	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688_tumour_BAF.txt	CCLE	70
BL-70	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644.CEL	M	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644_tumour_BAF.txt	CCLE	70
BT-20	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318.CEL	F	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318_tumour_BAF.txt	CCLE	70
BT-474	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326.CEL	F	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326_tumour_BAF.txt	CCLE	70
BT-549	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040.CEL	F	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040_tumour_BAF.txt	CCLE	70
BV-173	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460.CEL	M	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460_tumour_BAF.txt	CCLE	70
BxPC-3	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756.CEL	F	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756_tumour_BAF.txt	CCLE	70
C2BBe1	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322_tumour_BAF.txt	CCLE	70
C32	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030_tumour_BAF.txt	CCLE	70
C3A	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302_tumour_BAF.txt	CCLE	70
CA46	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270_tumour_BAF.txt	CCLE	70
CAKI-1	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234_tumour_BAF.txt	CCLE	70
CAL-120	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466.CEL	F	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466_tumour_BAF.txt	CCLE	70
CAL-12T	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202_tumour_BAF.txt	CCLE	70
CAL-148	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682.CEL	F	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682_tumour_LogR.txt	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682_tumour_BAF.txt	CCLE	70
CAL-27	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316_tumour_BAF.txt	CCLE	70
CAL-33	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966.CEL	M	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966_tumour_LogR.txt	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966_tumour_BAF.txt	CCLE	70
CAL-51	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500.CEL	F	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500_tumour_BAF.txt	CCLE	70
CAL-54	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406.CEL	M	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406_tumour_BAF.txt	CCLE	70
CAL-62	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514.CEL	F	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514_tumour_LogR.txt	celfiles/CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514_tumour_BAF.txt	CCLE	70
CAL-85-1	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032.CEL	F	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032_tumour_BAF.txt	CCLE	70
Calu-1	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140_tumour_BAF.txt	CCLE	70
Calu-3	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216_tumour_BAF.txt	CCLE	70
Calu-6	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442.CEL	F	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442_tumour_BAF.txt	CCLE	70
CAMA-1	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580.CEL	F	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580_tumour_BAF.txt	CCLE	70
Caov-3	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020.CEL	F	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020_tumour_BAF.txt	CCLE	70
Caov-4	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306.CEL	F	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306_tumour_BAF.txt	CCLE	70
