"signature"	"target"	"drug"	"tau"	"p.value"	"q.value"
"5"	"TUBB8"	"colchicine"	"-0.120204355901647"	"0.00192475974025626"	"0.00498173109242797"
"5"	"PDGFRA"	"masitinib"	"-0.115067215237378"	"0.00292680091416268"	"0.00547996766907055"
"5"	"HDAC6"	"givinostat"	"-0.113289990753298"	"0.00258007096866339"	"0.00547996766907055"
"5"	"MAP4"	"paclitaxel"	"-0.109568920297823"	"0.00268909004401248"	"0.00547996766907055"
"5"	"PDGFRA"	"pazopanib"	"-0.107989168589845"	"0.00388703454828479"	"0.00624624150987915"
"5"	"APP"	"salidroside"	"-0.101163629314636"	"0.00720960103884204"	"0.00893584354109999"
"5"	"ADRA2B"	"methyldopa"	"-0.102339987049012"	"0.00742917053593047"	"0.0090800973216928"
"5"	"PDGFRA"	"sunitinib"	"-0.101127822253943"	"0.00802775580142208"	"0.00948706881533887"
"5"	"JAK1"	"AZD1480"	"-0.10393267647226"	"0.0080855700130729"	"0.00948706881533887"
"5"	"JAK1"	"filgotinib"	"-0.10432122733432"	"0.00819535277955415"	"0.00948935585001007"
"7"	"AURKA"	"tozasertib"	"-0.181068311139953"	"1.88265382344411e-06"	"0.000165673536463082"
"7"	"PDGFRA"	"cediranib"	"-0.170196299990649"	"7.16466910798284e-06"	"0.000315245440751245"
"7"	"IMPDH1"	"azathioprine"	"-0.159375158998595"	"3.69000198517589e-05"	"0.00108240058231826"
"7"	"PDGFRA"	"regorafenib"	"-0.147166231948779"	"0.000113187142173078"	"0.00148039072798038"
"7"	"EPHA2"	"regorafenib"	"-0.147166231948779"	"0.000113187142173078"	"0.00148039072798038"
"7"	"HTR1D"	"SB-216641"	"-0.148179756728158"	"0.000117758353362076"	"0.00148039072798038"
"7"	"AURKA"	"SNS-314"	"-0.146481310518773"	"0.000134730159447823"	"0.00148203175392605"
"7"	"CYP3A4"	"dapivirine"	"-0.140677690673058"	"0.000221430725578545"	"0.00216510042787911"
"7"	"PDGFRA"	"crenolanib"	"-0.135349608755359"	"0.000312796977242866"	"0.0023593627490286"
"7"	"AURKA"	"danusertib"	"-0.135916099011095"	"0.000270444846848253"	"0.0023593627490286"
"7"	"PDGFRA"	"trapidil"	"-0.125045184823262"	"0.00100803105272686"	"0.00466992165651381"
"7"	"AURKA"	"GSK1070916"	"-0.124278219509464"	"0.00110070173296472"	"0.00466992165651381"
"7"	"CYP3A4"	"GSK1070916"	"-0.124278219509464"	"0.00110070173296472"	"0.00466992165651381"
"7"	"AURKA"	"CCT137690"	"-0.120467494934167"	"0.00123096530646772"	"0.00470978030300693"
"7"	"PDGFRA"	"pazopanib"	"-0.118301002931272"	"0.0017775950080556"	"0.0048883862721529"
"7"	"PDGFRA"	"PD-173074"	"-0.120996762246365"	"0.00156607690240046"	"0.0048883862721529"
"7"	"ITK"	"pazopanib"	"-0.118301002931272"	"0.0017775950080556"	"0.0048883862721529"
"7"	"AURKA"	"ZM-447439"	"-0.115653438907148"	"0.00164778461477902"	"0.0048883862721529"
"7"	"AURKA"	"KW-2449"	"-0.117604631554583"	"0.00149542615729747"	"0.0048883862721529"
"7"	"AURKA"	"PF-03814735"	"-0.114155763314681"	"0.00211981386789884"	"0.00518176723264161"
"7"	"AURKA"	"AMG900"	"-0.114668068006873"	"0.002098763146803"	"0.00518176723264161"
"7"	"PDGFRA"	"ENMD-2076"	"-0.121227752708512"	"0.00225756818753427"	"0.0052280526448162"
"7"	"AURKA"	"ENMD-2076"	"-0.121227752708512"	"0.00225756818753427"	"0.0052280526448162"
"7"	"PDGFRA"	"quizartinib"	"-0.112674494590305"	"0.00245818813198461"	"0.00547996766907055"
"7"	"AURKA"	"AT-9283"	"-0.116333505207155"	"0.0029025534077261"	"0.00547996766907055"
"7"	"CTSL"	"pepstatin"	"-0.117859346809098"	"0.00264913162393795"	"0.00547996766907055"
"7"	"IMPDH1"	"mercaptopurine"	"-0.106744971944027"	"0.00390390094367447"	"0.00624624150987915"
"7"	"EPHA2"	"vandetanib"	"-0.111273714230332"	"0.00383295371012319"	"0.00624624150987915"
"7"	"DHODH"	"brequinar"	"-0.10501966968226"	"0.00386254338324707"	"0.00624624150987915"
"7"	"DHODH"	"teriflunomide"	"-0.106395017199382"	"0.00390082275594053"	"0.00624624150987915"
"7"	"CYP3A4"	"sulfanilamide"	"-0.112214335812532"	"0.00381829017613307"	"0.00624624150987915"
"7"	"PDGFRA"	"tivozanib"	"-0.10548908240438"	"0.00423870940954974"	"0.00666082907214959"
"7"	"AURKA"	"alisertib"	"-0.101685030431451"	"0.00482230168124534"	"0.00731659565430327"
"7"	"CYP3A4"	"paliperidone"	"-0.103326168689835"	"0.00515820971481713"	"0.00756537424839846"
"7"	"HTR1D"	"paliperidone"	"-0.103326168689835"	"0.00515820971481713"	"0.00756537424839846"
"7"	"NOS2"	"diphenyleneiodonium"	"-0.102075393023736"	"0.00579030984289512"	"0.00796167603398079"
"7"	"IMPDH1"	"merimepodib"	"-0.102239695908468"	"0.00603712124978238"	"0.00812949133190677"
"7"	"IMPDH1"	"AVN-944"	"-0.104762437766981"	"0.00658375521422302"	"0.00839667331669023"
"7"	"EEF2"	"PJ-34"	"-0.101370916826429"	"0.00677074720176949"	"0.0085117964822245"
"9"	"EGFR"	"icotinib"	"-0.126346603212052"	"0.00111441312257716"	"0.00466992165651381"
"9"	"PRKCA"	"ingenol-mebutate"	"-0.119020006536296"	"0.00174010258685378"	"0.0048883862721529"
"9"	"MET"	"LY2801653"	"-0.11058107775733"	"0.00281709113717031"	"0.00547996766907055"
"9"	"CASP3"	"PETCM"	"-0.107796514059425"	"0.00450079514473043"	"0.00694859601291715"
"9"	"EGFR"	"CGP-52411"	"-0.104102044408321"	"0.005520881679716"	"0.00777550111099804"
